signal_date,symbol,bounce_probability,threshold_used,regime,close_price,forward_return_3d,forward_return_5d,forward_return_10d,forward_return_20d,forward_return_60d,max_adverse_excursion,max_favorable_excursion,signal_status,validation_period
2026-06-12,SPY,0.59293002,0.32534311,sideways,741.75000000,,,,,,,,pending,forward_only
2026-06-12,QQQ,0.38471703,0.32534311,liquidity_crunch,721.34002686,,,,,,,,pending,forward_only
2026-06-12,IWM,0.40434541,0.32534311,liquidity_crunch,292.95001221,,,,,,,,pending,forward_only
2026-06-12,DIA,0.57070947,0.32534311,sideways,513.05999756,,,,,,,,pending,forward_only
2026-06-15,SPY,0.59293002,0.32534311,sideways,753.26000977,,,,,,,,pending,forward_only
2026-06-15,QQQ,0.38471703,0.32534311,liquidity_crunch,740.30987549,,,,,,,,pending,forward_only
2026-06-15,IWM,0.40434541,0.32534311,liquidity_crunch,296.85000610,,,,,,,,pending,forward_only
2026-06-15,DIA,0.57070947,0.32534311,sideways,518.92498779,,,,,,,,pending,forward_only
2026-06-16,SPY,0.59293002,0.32534311,sideways,754.99987793,,,,,,,,pending,forward_only
2026-06-16,QQQ,0.38471703,0.32534311,liquidity_crunch,742.01000977,,,,,,,,pending,forward_only
2026-06-16,IWM,0.40434541,0.32534311,liquidity_crunch,296.29998779,,,,,,,,pending,forward_only
2026-06-16,DIA,0.57070947,0.32534311,sideways,522.01000977,,,,,,,,pending,forward_only
