forecast_id,forecast_date,model_version,data_version,symbol,current_price,primary_scenario,primary_probability,secondary_scenario,secondary_probability,risk_scenario,risk_scenario_probability,probability_gap,close_call,edge_status,signal_confirmation_score,model_confidence,data_completeness,strongest_predictor,supporting_signals,conflicting_signals,missing_data,invalidation_conditions,forecast_horizons,expected_return_by_horizon,scenario_expected_return_by_horizon,shadow_status,blocked_reason,actual_return_3d,best_matching_scenario_3d,primary_hit_3d,path_error_3d,actual_return_5d,best_matching_scenario_5d,primary_hit_5d,path_error_5d,actual_return_10d,best_matching_scenario_10d,primary_hit_10d,path_error_10d,actual_return_20d,best_matching_scenario_20d,primary_hit_20d,path_error_20d,actual_return_60d,best_matching_scenario_60d,primary_hit_60d,path_error_60d,status
f06c7425e6d07f95a9,2026-06-12,challenger_v2_options_flow,2026-06-12|completeness=90,DIA,513.0599976,bounce_path,0.4395625,bearish_path,0.216595625,bearish_path,0.219741875,0.222966875,false,MODERATE_EDGE,70,77,90,bounce_predictor,"[""Alpha v1 bounce signal"", ""VIX direction"", ""credit stability"", ""breadth confirmation"", ""market internal resonance"", ""options volatility repair"", ""flow / positioning proxy"", ""price trend"", ""failed bounce risk"", ""options_flow_shadow_confirmation""]","[""macro event risk"", ""historical analog support"", ""options_flow_shadow_conflicts_if_vol_or_flow_reverses""]","[""finnhub_candle_SPY"", ""finnhub_candle_QQQ"", ""finnhub_candle_IWM"", ""finnhub_candle_DIA"", ""finnhub_news_sentiment_SPY"", ""finnhub_news_sentiment_QQQ"", ""finnhub_news_sentiment_IWM"", ""finnhub_news_sentiment_DIA"", ""finnhub_economic_calendar"", ""finnhub_rates_data"", ""finnhub_alternative_data""]","[""VIX 重新快速上升，说明波动压力没有解除。"", ""HYG 明显走弱或信用代理指标恶化。"", ""价格跌破最近低点，反弹候选失效。"", ""历史相似情景支持度从 supportive 转为 weak_or_conflicting。""]","[""3d"", ""5d"", ""10d"", ""20d"", ""60d""]","{""10d"": 0.00022419942671077496, ""20d"": 0.003845170212865895, ""3d"": -0.0008613621675019001, ""5d"": 0.003311815463386125, ""60d"": -0.021041927337147687}","{""10d"": {""analog_average_path"": 0.00022414532413361776, ""bearish_path"": -0.010023194168323202, ""bounce_path"": 0.014645070751958977, ""expected_path"": 0.006022297587026992}, ""20d"": {""analog_average_path"": 0.0038451643082679787, ""bearish_path"": -0.04670564846216807, ""bounce_path"": 0.04702685845710053, ""expected_path"": 0.015226289322886277}, ""3d"": {""analog_average_path"": -0.0008613027716054544, ""bearish_path"": -0.007324874283709426, ""bounce_path"": 0.012176548551826594, ""expected_path"": 0.005224145324133733}, ""5d"": {""analog_average_path"": 0.003311893345807615, ""bearish_path"": 0.0019200483374266497, ""bounce_path"": 0.01719370054184699, ""expected_path"": 0.011444080614353203}, ""60d"": {""analog_average_path"": -0.02104198339375496, ""bearish_path"": -0.04648968931508968, ""bounce_path"": 0.03743070985849606, ""expected_path"": 0.007315713561766746}}",pending_forward_validation,,,,,,,,,,,,,,,,,,,,,,pending
cd6dc39fec8491e5ee,2026-06-12,challenger_v2_options_flow,2026-06-12|completeness=90,IWM,292.9500122,bounce_path,0.410385,analog_average_path,0.22200325,bearish_path,0.20341175,0.18838175,false,MODERATE_EDGE,70,74,90,bounce_predictor,"[""Alpha v1 bounce signal"", ""VIX direction"", ""credit stability"", ""breadth confirmation"", ""options volatility repair"", ""flow / positioning proxy"", ""price trend"", ""failed bounce risk"", ""options_flow_shadow_confirmation""]","[""macro event risk"", ""options_flow_shadow_conflicts_if_vol_or_flow_reverses""]","[""finnhub_candle_SPY"", ""finnhub_candle_QQQ"", ""finnhub_candle_IWM"", ""finnhub_candle_DIA"", ""finnhub_news_sentiment_SPY"", ""finnhub_news_sentiment_QQQ"", ""finnhub_news_sentiment_IWM"", ""finnhub_news_sentiment_DIA"", ""finnhub_economic_calendar"", ""finnhub_rates_data"", ""finnhub_alternative_data""]","[""VIX 重新快速上升，说明波动压力没有解除。"", ""HYG 明显走弱或信用代理指标恶化。"", ""价格跌破最近低点，反弹候选失效。"", ""历史相似情景支持度从 supportive 转为 weak_or_conflicting。""]","[""3d"", ""5d"", ""10d"", ""20d"", ""60d""]","{""10d"": 0.005455264443160068, ""20d"": -0.004647763319492282, ""3d"": 0.007350439663016772, ""5d"": 0.003016408384372482, ""60d"": 0.02234185925455246}","{""10d"": {""analog_average_path"": 0.005455197132616441, ""bearish_path"": -0.01577026796381631, ""bounce_path"": 0.031684246458439924, ""expected_path"": 0.012390851681174375}, ""20d"": {""analog_average_path"": -0.004647892131763087, ""bearish_path"": -0.04463457927974046, ""bounce_path"": 0.03472333162655761, ""expected_path"": 0.0028714797747055876}, ""3d"": {""analog_average_path"": 0.007350401092336645, ""bearish_path"": -3.447687318647308e-05, ""bounce_path"": 0.010671445639187427, ""expected_path"": 0.006557091653865976}, ""5d"": {""analog_average_path"": 0.003016555726233161, ""bearish_path"": -0.0024499061273254297, ""bounce_path"": 0.012509643283836969, ""expected_path"": 0.006315070831199865}, ""60d"": {""analog_average_path"": 0.022342037890424882, ""bearish_path"": 0.017795528247141146, ""bounce_path"": 0.043361324458098593, ""expected_path"": 0.03233418672128363}}",pending_forward_validation,,,,,,,,,,,,,,,,,,,,,,pending
0ebcaa18fc1b2a9ec4,2026-06-12,challenger_v2_options_flow,2026-06-12|completeness=90,QQQ,721.3400269,bounce_path,0.3994,bearish_path,0.219725,bearish_path,0.222775,0.179675,false,MODERATE_EDGE,70,77,90,bounce_predictor,"[""Alpha v1 bounce signal"", ""VIX direction"", ""credit stability"", ""breadth confirmation"", ""options volatility repair"", ""flow / positioning proxy"", ""price trend"", ""options_flow_shadow_confirmation""]","[""macro event risk"", ""historical analog support"", ""options_flow_shadow_conflicts_if_vol_or_flow_reverses""]","[""finnhub_candle_SPY"", ""finnhub_candle_QQQ"", ""finnhub_candle_IWM"", ""finnhub_candle_DIA"", ""finnhub_news_sentiment_SPY"", ""finnhub_news_sentiment_QQQ"", ""finnhub_news_sentiment_IWM"", ""finnhub_news_sentiment_DIA"", ""finnhub_economic_calendar"", ""finnhub_rates_data"", ""finnhub_alternative_data""]","[""市场状态仍处于 risk_off / panic，反弹更容易失败。"", ""VIX 重新快速上升，说明波动压力没有解除。"", ""HYG 明显走弱或信用代理指标恶化。"", ""价格跌破最近低点，反弹候选失效。"", ""历史相似情景支持度从 supportive 转为 weak_or_conflicting。""]","[""3d"", ""5d"", ""10d"", ""20d"", ""60d""]","{""10d"": -0.00041192032711198645, ""20d"": -0.0097021099671255, ""3d"": 0.004904471146417339, ""5d"": 0.006590203796632027, ""60d"": -0.016938967164605682}","{""10d"": {""analog_average_path"": -0.000411872348684339, ""bearish_path"": -0.018765492000998085, ""bounce_path"": 0.024545152078076837, ""expected_path"": 0.003442620678182351}, ""20d"": {""analog_average_path"": -0.009702082235838905, ""bearish_path"": -0.07025771480855081, ""bounce_path"": 0.035730307483294865, ""expected_path"": -0.014654809105276279}, ""3d"": {""analog_average_path"": 0.004904483322704989, ""bearish_path"": 0.004998752322067146, ""bounce_path"": 0.005229572739623434, ""expected_path"": 0.005101755066958535}, ""5d"": {""analog_average_path"": 0.006590234840712972, ""bearish_path"": 0.000434746444117895, ""bounce_path"": 0.016322122716056153, ""expected_path"": 0.00853494884520467}, ""60d"": {""analog_average_path"": -0.016938891507472187, ""bearish_path"": -0.05870643524551533, ""bounce_path"": 0.026876368979953824, ""expected_path"": -0.014381013114481367}}",pending_forward_validation,,,,,,,,,,,,,,,,,,,,,,pending
72d358622db430539d,2026-06-12,challenger_v2_options_flow,2026-06-12|completeness=90,SPY,741.75,bounce_path,0.4463625,analog_average_path,0.239745625,bearish_path,0.181991875,0.206616875,false,MODERATE_EDGE,70,79,90,trend_reversal_predictor,"[""Alpha v1 bounce signal"", ""VIX direction"", ""credit stability"", ""breadth confirmation"", ""market internal resonance"", ""options volatility repair"", ""flow / positioning proxy"", ""historical analog support"", ""failed bounce risk"", ""options_flow_shadow_confirmation""]","[""macro event risk"", ""price trend"", ""options_flow_shadow_conflicts_if_vol_or_flow_reverses""]","[""finnhub_candle_SPY"", ""finnhub_candle_QQQ"", ""finnhub_candle_IWM"", ""finnhub_candle_DIA"", ""finnhub_news_sentiment_SPY"", ""finnhub_news_sentiment_QQQ"", ""finnhub_news_sentiment_IWM"", ""finnhub_news_sentiment_DIA"", ""finnhub_economic_calendar"", ""finnhub_rates_data"", ""finnhub_alternative_data""]","[""VIX 重新快速上升，说明波动压力没有解除。"", ""HYG 明显走弱或信用代理指标恶化。"", ""价格跌破最近低点，反弹候选失效。"", ""历史相似情景支持度从 supportive 转为 weak_or_conflicting。""]","[""3d"", ""5d"", ""10d"", ""20d"", ""60d""]","{""10d"": -0.000849558579427473, ""20d"": 0.02000877398698462, ""3d"": -0.006692635480672837, ""5d"": -0.009980558612075752, ""60d"": 0.04287747388498211}","{""10d"": {""analog_average_path"": -0.0008496124031006635, ""bearish_path"": -0.015051027974384845, ""bounce_path"": 0.0007137175598248557, ""expected_path"": -0.0036533872598584205}, ""20d"": {""analog_average_path"": 0.02000876306033028, ""bearish_path"": -0.02281415571284129, ""bounce_path"": 0.049049410178631625, ""expected_path"": 0.027252039096730796}, ""3d"": {""analog_average_path"": -0.00669268621503194, ""bearish_path"": -0.011425143242332347, ""bounce_path"": -0.00939022581732385, ""expected_path"": -0.009703943377148638}, ""5d"": {""analog_average_path"": -0.00998058645096056, ""bearish_path"": -0.012720458375463428, ""bounce_path"": -0.004931176272328974, ""expected_path"": -0.007457768790023578}, ""60d"": {""analog_average_path"": 0.042877519379844964, ""bearish_path"": -0.03640889787664314, ""bounce_path"": 0.09154148972025622, ""expected_path"": 0.052994270306707}}",pending_forward_validation,,,,,,,,,,,,,,,,,,,,,,pending
9c0b380caf0a691ccc,2026-06-15,challenger_v2_options_flow,2026-06-15|completeness=92.0,DIA,513.0599976,bounce_path,0.4283575,bearish_path,0.216118375,bearish_path,0.219224125,0.212239125,false,MODERATE_EDGE,65,77,92,bounce_predictor,"[""Alpha v1 bounce signal"", ""VIX direction"", ""credit stability"", ""breadth confirmation"", ""market internal resonance"", ""options volatility repair"", ""flow / positioning proxy"", ""price trend"", ""failed bounce risk"", ""options_flow_shadow_confirmation""]","[""macro event risk"", ""risk_off_news_event"", ""options_flow_shadow_conflicts_if_vol_or_flow_reverses""]","[""finnhub_candle_SPY"", ""finnhub_candle_QQQ"", ""finnhub_candle_IWM"", ""finnhub_candle_DIA"", ""finnhub_news_sentiment_SPY"", ""finnhub_news_sentiment_QQQ"", ""finnhub_news_sentiment_IWM"", ""finnhub_news_sentiment_DIA"", ""finnhub_economic_calendar"", ""finnhub_rates_data"", ""finnhub_alternative_data""]","[""VIX 重新快速上升，说明波动压力没有解除。"", ""HYG 明显走弱或信用代理指标恶化。"", ""价格跌破最近低点，反弹候选失效。"", ""历史相似情景支持度从 supportive 转为 weak_or_conflicting。""]","[""3d"", ""5d"", ""10d"", ""20d"", ""60d""]","{""10d"": 0.007907658557379516, ""20d"": 0.008270771955986933, ""3d"": 0.00422783666841241, ""5d"": 0.0060391800851346215, ""60d"": -0.008069871881120783}","{""10d"": {""analog_average_path"": 0.007907652126457165, ""bearish_path"": -0.004041437648618085, ""bounce_path"": 0.014645070751958977, ""expected_path"": 0.008714965111293216}, ""20d"": {""analog_average_path"": 0.008270767551553648, ""bearish_path"": -0.040623903637001524, ""bounce_path"": 0.04702685845710053, ""expected_path"": 0.01860620590184392}, ""3d"": {""analog_average_path"": 0.004227770631115346, ""bearish_path"": 0.0022215725256307106, ""bounce_path"": 0.012176548551826594, ""expected_path"": 0.008648501149963073}, ""5d"": {""analog_average_path"": 0.006039254668070093, ""bearish_path"": 0.007511791993139338, ""bounce_path"": 0.01719370054184699, ""expected_path"": 0.013472693252251311}, ""60d"": {""analog_average_path"": -0.008069816395743112, ""bearish_path"": -0.029665146376642082, ""bounce_path"": 0.03743070985849606, ""expected_path"": 0.014334970568744554}}",pending_forward_validation,,,,,,,,,,,,,,,,,,,,,,pending
6f3c851c8555685f93,2026-06-15,challenger_v2_options_flow,2026-06-15|completeness=92.0,IWM,292.9500122,bounce_path,0.3826575,analog_average_path,0.234318375,bearish_path,0.221224125,0.148339125,false,MODERATE_EDGE,65,75,92,trend_reversal_predictor,"[""Alpha v1 bounce signal"", ""VIX direction"", ""credit stability"", ""breadth confirmation"", ""options volatility repair"", ""flow / positioning proxy"", ""historical analog support"", ""price trend"", ""failed bounce risk"", ""options_flow_shadow_confirmation""]","[""macro event risk"", ""risk_off_news_event"", ""options_flow_shadow_conflicts_if_vol_or_flow_reverses""]","[""finnhub_candle_SPY"", ""finnhub_candle_QQQ"", ""finnhub_candle_IWM"", ""finnhub_candle_DIA"", ""finnhub_news_sentiment_SPY"", ""finnhub_news_sentiment_QQQ"", ""finnhub_news_sentiment_IWM"", ""finnhub_news_sentiment_DIA"", ""finnhub_economic_calendar"", ""finnhub_rates_data"", ""finnhub_alternative_data""]","[""VIX 重新快速上升，说明波动压力没有解除。"", ""HYG 明显走弱或信用代理指标恶化。"", ""价格跌破最近低点，反弹候选失效。"", ""历史相似情景支持度从 supportive 转为 weak_or_conflicting。""]","[""3d"", ""5d"", ""10d"", ""20d"", ""60d""]","{""10d"": 0.006215717503872559, ""20d"": 0.005320140300163289, ""3d"": 0.006022471248080913, ""5d"": 0.0072545658361891086, ""60d"": 0.04409593580149061}","{""10d"": {""analog_average_path"": 0.006215736473800915, ""bearish_path"": -0.019743983614951333, ""bounce_path"": 0.04952790578597033, ""expected_path"": 0.024069977811913335}, ""20d"": {""analog_average_path"": 0.005320020481310861, ""bearish_path"": -0.04846117084826751, ""bounce_path"": 0.07118279569892483, ""expected_path"": 0.027978835978836214}, ""3d"": {""analog_average_path"": 0.006022529441884306, ""bearish_path"": 0.0036873186550605563, ""bounce_path"": 0.01634101382488473, ""expected_path"": 0.011484553678102083}, ""5d"": {""analog_average_path"": 0.007254480286738474, ""bearish_path"": -0.0030370370370370603, ""bounce_path"": 0.029800307219662203, ""expected_path"": 0.01755999317289647}, ""60d"": {""analog_average_path"": 0.04409592080559843, ""bearish_path"": 0.009044205495818414, ""bounce_path"": 0.10915548728451951, ""expected_path"": 0.07215292712066912}}",pending_forward_validation,,,,,,,,,,,,,,,,,,,,,,pending
88f54fab3e2b1ebcb9,2026-06-15,challenger_v2_options_flow,2026-06-15|completeness=92.0,QQQ,721.3400269,bounce_path,0.3770575,bearish_path,0.247318375,bearish_path,0.250424125,0.129739125,false,MODERATE_EDGE,65,77,92,trend_reversal_predictor,"[""Alpha v1 bounce signal"", ""VIX direction"", ""credit stability"", ""breadth confirmation"", ""options volatility repair"", ""flow / positioning proxy"", ""price trend"", ""options_flow_shadow_confirmation""]","[""macro event risk"", ""historical analog support"", ""risk_off_news_event"", ""options_flow_shadow_conflicts_if_vol_or_flow_reverses""]","[""finnhub_candle_SPY"", ""finnhub_candle_QQQ"", ""finnhub_candle_IWM"", ""finnhub_candle_DIA"", ""finnhub_news_sentiment_SPY"", ""finnhub_news_sentiment_QQQ"", ""finnhub_news_sentiment_IWM"", ""finnhub_news_sentiment_DIA"", ""finnhub_economic_calendar"", ""finnhub_rates_data"", ""finnhub_alternative_data""]","[""市场状态仍处于 risk_off / panic，反弹更容易失败。"", ""VIX 重新快速上升，说明波动压力没有解除。"", ""HYG 明显走弱或信用代理指标恶化。"", ""价格跌破最近低点，反弹候选失效。"", ""历史相似情景支持度从 supportive 转为 weak_or_conflicting。""]","[""3d"", ""5d"", ""10d"", ""20d"", ""60d""]","{""10d"": -0.0016805188023819918, ""20d"": -0.014800999660340486, ""3d"": 0.007831266578852603, ""5d"": 0.011389958604273281, ""60d"": 0.01801998267111063}","{""10d"": {""analog_average_path"": -0.001680483544514444, ""bearish_path"": -0.045748884021404534, ""bounce_path"": 0.043670807108991516, ""expected_path"": 9.690298610909309e-05}, ""20d"": {""analog_average_path"": -0.014800926054287844, ""bearish_path"": -0.10081903124740077, ""bounce_path"": 0.0527982643413647, ""expected_path"": -0.02123991460337704}, ""3d"": {""analog_average_path"": 0.007831258491141524, ""bearish_path"": 0.0018593173815397712, ""bounce_path"": 0.011730667923586457, ""expected_path"": 0.007008345579061048}, ""5d"": {""analog_average_path"": 0.011390051847949723, ""bearish_path"": 0.0014321956358998023, ""bounce_path"": 0.02654975462333975, ""expected_path"": 0.014117753070673977}, ""60d"": {""analog_average_path"": 0.01802007375162895, ""bearish_path"": -0.049608645021765096, ""bounce_path"": 0.08582416059001297, ""expected_path"": 0.019898244933041154}}",pending_forward_validation,,,,,,,,,,,,,,,,,,,,,,pending
cc526d10d0d7ce2dfe,2026-06-15,challenger_v2_options_flow,2026-06-15|completeness=92.0,SPY,741.75,bounce_path,0.4267575,analog_average_path,0.232618375,bearish_path,0.208624125,0.194139125,false,MODERATE_EDGE,65,79,92,trend_reversal_predictor,"[""Alpha v1 bounce signal"", ""VIX direction"", ""credit stability"", ""breadth confirmation"", ""market internal resonance"", ""options volatility repair"", ""flow / positioning proxy"", ""historical analog support"", ""price trend"", ""failed bounce risk"", ""options_flow_shadow_confirmation""]","[""macro event risk"", ""risk_off_news_event"", ""options_flow_shadow_conflicts_if_vol_or_flow_reverses""]","[""finnhub_candle_SPY"", ""finnhub_candle_QQQ"", ""finnhub_candle_IWM"", ""finnhub_candle_DIA"", ""finnhub_news_sentiment_SPY"", ""finnhub_news_sentiment_QQQ"", ""finnhub_news_sentiment_IWM"", ""finnhub_news_sentiment_DIA"", ""finnhub_economic_calendar"", ""finnhub_rates_data"", ""finnhub_alternative_data""]","[""VIX 重新快速上升，说明波动压力没有解除。"", ""HYG 明显走弱或信用代理指标恶化。"", ""价格跌破最近低点，反弹候选失效。"", ""历史相似情景支持度从 supportive 转为 weak_or_conflicting。""]","[""3d"", ""5d"", ""10d"", ""20d"", ""60d""]","{""10d"": 0.0048571144610702055, ""20d"": 0.022799664886652186, ""3d"": -0.0028606681556011203, ""5d"": -0.006384774180032476, ""60d"": 0.039007249255508004}","{""10d"": {""analog_average_path"": 0.004857162116616021, ""bearish_path"": 0.0034158409167508452, ""bounce_path"": 0.005213616447590219, ""expected_path"": 0.004700235928547292}, ""20d"": {""analog_average_path"": 0.02279973036737437, ""bearish_path"": -0.006140478597910337, ""bounce_path"": 0.044607482305358825, ""expected_path"": 0.02910266262217731}, ""3d"": {""analog_average_path"": -0.002860667340748191, ""bearish_path"": -0.009968722615436576, ""bounce_path"": 0.0016314122008762588, ""expected_path"": -0.0018701718907987441}, ""5d"": {""analog_average_path"": -0.006384765756656585, ""bearish_path"": -0.011147421638018185, ""bounce_path"": -0.0029311762723289725, ""expected_path"": -0.005434850016852066}, ""60d"": {""analog_average_path"": 0.03900721267273344, ""bearish_path"": -0.019876508257499093, ""bounce_path"": 0.058509740478597916, ""expected_path"": 0.035783754634310716}}",pending_forward_validation,,,,,,,,,,,,,,,,,,,,,,pending
197027c363950bbd60,2026-06-16,challenger_v2_options_flow,2026-06-16|completeness=92.0,DIA,521.4400024,bounce_path,0.43053,bearish_path,0.2197885,bearish_path,0.2230815,0.2107415,false,RISK_WARNING,63.5,77,92,bounce_predictor,"[""Alpha v1 bounce signal"", ""VIX direction"", ""credit stability"", ""breadth confirmation"", ""market internal resonance"", ""options volatility repair"", ""flow / positioning proxy"", ""price trend"", ""failed bounce risk"", ""options_flow_shadow_confirmation""]","[""macro event risk"", ""risk_off_news_event"", ""options_flow_shadow_conflicts_if_vol_or_flow_reverses""]","[""finnhub_candle_SPY"", ""finnhub_candle_QQQ"", ""finnhub_candle_IWM"", ""finnhub_candle_DIA"", ""finnhub_news_sentiment_SPY"", ""finnhub_news_sentiment_QQQ"", ""finnhub_news_sentiment_IWM"", ""finnhub_news_sentiment_DIA"", ""finnhub_economic_calendar"", ""finnhub_rates_data"", ""finnhub_alternative_data""]","[""VIX 重新快速上升，说明波动压力没有解除。"", ""HYG 明显走弱或信用代理指标恶化。"", ""价格跌破最近低点，反弹候选失效。"", ""历史相似情景支持度从 supportive 转为 weak_or_conflicting。""]","[""1d"", ""3d"", ""5d"", ""10d"", ""20d"", ""60d""]","{""10d"": 0.008283247242767595, ""1d"": -0.0044, ""20d"": 0.009779431034265562, ""3d"": 0.0024, ""5d"": 0.00734287746508574, ""60d"": -0.008233920314274607}","{""10d"": {""analog_average_path"": 0.008283215710340519, ""bearish_path"": -0.0025391224301934967, ""bounce_path"": 0.01464502147898128, ""expected_path"": 0.009177853636084476}, ""1d"": {""analog_average_path"": -0.002412933415158247, ""bearish_path"": -0.006142221540349824, ""bounce_path"": 0.00124750690395814, ""expected_path"": -0.004423519484504479}, ""20d"": {""analog_average_path"": 0.009779456888616034, ""bearish_path"": -0.034589214482970365, ""bounce_path"": 0.047026887081926816, ""expected_path"": 0.020464866523473457}, ""3d"": {""analog_average_path"": 0.0039954740718011195, ""bearish_path"": 0.005080737956428161, ""bounce_path"": 0.010901350107394903, ""expected_path"": 0.007177048174286549}, ""5d"": {""analog_average_path"": 0.007342934949370994, ""bearish_path"": 0.012726679963178666, ""bounce_path"": 0.017193732740104162, ""expected_path"": 0.015078820190242315}, ""60d"": {""analog_average_path"": -0.008233929119361938, ""bearish_path"": -0.03032122583614616, ""bounce_path"": 0.03743057686406859, ""expected_path"": 0.014132977907333366}}",pending_forward_validation,,,,,,,,,,,,,,,,,,,,,,pending
8b74639b1cbe5b56f6,2026-06-16,challenger_v2_options_flow,2026-06-16|completeness=92.0,IWM,292.0799866,bounce_path,0.3873875,analog_average_path,0.254211875,bearish_path,0.211300625,0.133175625,false,RISK_WARNING,63.5,75,92,trend_reversal_predictor,"[""Alpha v1 bounce signal"", ""VIX direction"", ""credit stability"", ""breadth confirmation"", ""options volatility repair"", ""flow / positioning proxy"", ""historical analog support"", ""price trend"", ""failed bounce risk"", ""options_flow_shadow_confirmation""]","[""macro event risk"", ""risk_off_news_event"", ""options_flow_shadow_conflicts_if_vol_or_flow_reverses""]","[""finnhub_candle_SPY"", ""finnhub_candle_QQQ"", ""finnhub_candle_IWM"", ""finnhub_candle_DIA"", ""finnhub_news_sentiment_SPY"", ""finnhub_news_sentiment_QQQ"", ""finnhub_news_sentiment_IWM"", ""finnhub_news_sentiment_DIA"", ""finnhub_economic_calendar"", ""finnhub_rates_data"", ""finnhub_alternative_data""]","[""VIX 重新快速上升，说明波动压力没有解除。"", ""HYG 明显走弱或信用代理指标恶化。"", ""价格跌破最近低点，反弹候选失效。"", ""历史相似情景支持度从 supportive 转为 weak_or_conflicting。""]","[""1d"", ""3d"", ""5d"", ""10d"", ""20d"", ""60d""]","{""10d"": 0.017986867816678596, ""1d"": -0.0053, ""20d"": 0.02212187451189416, ""3d"": 0.0047, ""5d"": 0.014672954681508943, ""60d"": 0.060650828074899146}","{""10d"": {""analog_average_path"": 0.017986852917009077, ""bearish_path"": -0.021656395508079962, ""bounce_path"": 0.05086414680909335, ""expected_path"": 0.02683751027115866}, ""1d"": {""analog_average_path"": -0.0016584497397973408, ""bearish_path"": -0.00794919200219113, ""bounce_path"": 0.0006268830457409891, ""expected_path"": -0.005278690769652039}, ""20d"": {""analog_average_path"": 0.02212167899205686, ""bearish_path"": -0.03745788824979457, ""bounce_path"": 0.07635476581758427, ""expected_path"": 0.038414133114215376}, ""3d"": {""analog_average_path"": 0.006264721993974431, ""bearish_path"": -0.0003687345932620323, ""bounce_path"": 0.009036907696521546, ""expected_path"": 0.004599424815119324}, ""5d"": {""analog_average_path"": 0.01467303478499038, ""bearish_path"": -0.0027468501780334442, ""bounce_path"": 0.021601958367570617, ""expected_path"": 0.013898589427554064}, ""60d"": {""analog_average_path"": 0.060650849082443115, ""bearish_path"": 0.03496918652423986, ""bounce_path"": 0.13445939468638723, ""expected_path"": 0.09895747740345118}}",pending_forward_validation,,,,,,,,,,,,,,,,,,,,,,pending
